127.0.0.1 - - [26/Mar/2024:01:00:35 +0900] "GET / HTTP/1.1" 404 808
0:0:0:0:0:0:0:1 - - [26/Mar/2024:01:00:36 +0900] "GET /ENJOYTRIP_BACKEND_8/ HTTP/1.1" 200 17141
0:0:0:0:0:0:0:1 - - [26/Mar/2024:01:00:36 +0900] "GET /ENJOYTRIP_BACKEND_8/js/login.js HTTP/1.1" 200 1954
0:0:0:0:0:0:0:1 - - [26/Mar/2024:01:00:36 +0900] "GET /ENJOYTRIP_BACKEND_8/css/modal.css HTTP/1.1" 200 2141
0:0:0:0:0:0:0:1 - - [26/Mar/2024:01:00:36 +0900] "GET /ENJOYTRIP_BACKEND_8/img/favicon.ico HTTP/1.1" 404 851
0:0:0:0:0:0:0:1 - - [26/Mar/2024:01:00:41 +0900] "POST /ENJOYTRIP_BACKEND_8/user HTTP/1.1" 200 180
0:0:0:0:0:0:0:1 - - [26/Mar/2024:01:00:43 +0900] "GET /ENJOYTRIP_BACKEND_8/ HTTP/1.1" 200 17141
0:0:0:0:0:0:0:1 - - [26/Mar/2024:01:00:56 +0900] "POST /ENJOYTRIP_BACKEND_8/user HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [26/Mar/2024:01:00:56 +0900] "GET /ENJOYTRIP_BACKEND_8/ HTTP/1.1" 200 17141
0:0:0:0:0:0:0:1 - - [26/Mar/2024:01:01:01 +0900] "POST /ENJOYTRIP_BACKEND_8/user HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [26/Mar/2024:01:01:01 +0900] "GET /ENJOYTRIP_BACKEND_8/ HTTP/1.1" 200 17019
0:0:0:0:0:0:0:1 - - [26/Mar/2024:01:01:04 +0900] "POST /ENJOYTRIP_BACKEND_8/user HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [26/Mar/2024:01:01:04 +0900] "GET /ENJOYTRIP_BACKEND_8/ HTTP/1.1" 200 17019
0:0:0:0:0:0:0:1 - - [26/Mar/2024:01:01:09 +0900] "POST /ENJOYTRIP_BACKEND_8/user HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [26/Mar/2024:01:01:09 +0900] "GET /ENJOYTRIP_BACKEND_8/ HTTP/1.1" 200 17019
0:0:0:0:0:0:0:1 - - [26/Mar/2024:01:01:16 +0900] "GET /ENJOYTRIP_BACKEND_8/info.jsp HTTP/1.1" 200 15769
0:0:0:0:0:0:0:1 - - [26/Mar/2024:01:01:16 +0900] "GET /ENJOYTRIP_BACKEND_8/js/getAPI.js HTTP/1.1" 200 3868
0:0:0:0:0:0:0:1 - - [26/Mar/2024:01:01:24 +0900] "GET /ENJOYTRIP_BACKEND_8/attraction?action=search&code=39&addr=%EC%B2%9C%EC%95%88 HTTP/1.1" 200 33558
0:0:0:0:0:0:0:1 - - [26/Mar/2024:01:01:30 +0900] "GET /ENJOYTRIP_BACKEND_8/user?action=withdrawal&userId=qqa108 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [26/Mar/2024:01:01:30 +0900] "GET /ENJOYTRIP_BACKEND_8/ HTTP/1.1" 200 17141
