brewery_title,brewery_address,brewery_kind,brewery_num,min_people,brewery_img,brewery_lat,brewery_long
(주)배혜정도가,경기 화성시 정남면 서봉로 835 (주)배혜정도가,탁주,031-354-9376,5,https://www.goingsool.com/upload/Screenshot%202023-07-31%20at%2014.00.51.JPG,37.1495859,126.9609462
(주)술샘,경기 용인시 처인구 양지면 죽양대로 2298-1 술샘,"탁주, 약주, 증류주, 리큐르",070-4218-5225,10,https://www.goingsool.com/upload/Screenshot%202023-07-31%20at%2014.04.01.JPG,37.23328185,127.2983363
(주)우리술,경기 가평군 조종면 대보간선로 29 (주)우리술,"탁주, 살균탁주, 기타주류, 약주",010-2387-1277,5,https://www.goingsool.com/upload/(%EC%A3%BC)%EC%9A%B0%EB%A6%AC%EC%88%A0_%EA%B3%B5%EC%9E%A5%EC%A0%84%EA%B2%BD.jpg,37.81987436,127.3563087
금풍양조장,인천 강화군 길상면 삼랑성길 8 금양조장,탁주(막걸리 4종),070-4400-1931,1,https://www.goingsool.com/upload/%EA%B8%88%ED%92%881.JPG,37.6384562,126.4913369
농업회사법인 술빚는전가네,경기 포천시 영북면 산정호수로 335 술빚는전가네,탁주 약주 증류주,010-5245-9708,5,https://www.goingsool.com/upload/dd%20%EC%A0%84%EA%B0%80%EB%84%A4%EC%B2%98.PNG,38.06937835,127.3087163
농업회사법인 오산양조(주),경기 오산시 시장길 63 농업회사법인 오산양조(주),"탁주, 증류식소주, 약주, 기타주류",010-4670-8760,8,https://www.goingsool.com/upload/Screenshot%202023-06-26%20at%2011.26.18.JPG,37.15451376,127.0691384
농업회사법인(주)술아원,경기 여주시 점봉길 93-12 술아원,"탁주,약주, 증류주, 기타주류",010-9971-1670,4,https://www.goingsool.com/upload/image014.png,37.24594201,127.6444062
농업회사법인(주)좋은술,경기 평택시 오성면 숙성뜰길 108 농업회사법인(주)좋은술,"탁주,약주, 증류주",010-8482-8929,8,https://www.goingsool.com/upload/%EC%BA%A1%EC%B2%987.PNG,37.00049327,126.9893933
인천탁주제조제1공장 양조장,인천 부평구 안남로433번길 14 인천탁주제조제1공장 양조장,1. 탁주,010-4710-1625,30,https://www.goingsool.com/upload/%EC%9D%B8%EC%B2%9C%ED%83%81%EC%A3%BC%20(4).png,37.52174818,126.7091154
호랑이배꼽양조장(밝은세상영농조합),경기 평택시 포승읍 충열길 37 호랑이배꼽양조장 (밝은세상영농조합),"탁주, 증류주",031-683-0981,10,https://www.goingsool.com/upload/%EC%BA%A1%EC%B2%985.PNG,36.97107046,126.8735788
농업회사법인 예술주식회사,강원특별자치도 춘천시 신동면 풍류1길 6-3 농업회사법인 예술주식회사,"전통주(지역특산주) 탁주, 약주, 증류식 소주",033-261-1525,10,https://www.goingsool.com/upload/%EC%BA%A1%EC%B2%9811.PNG,37.81716142,127.7173859
모월양조장,강원특별자치도 원주시 판부면 판부신촌길 84 모월양조장,"증류식소주(25%,41%), 약주(13%,16%)",033-748-8008,8,https://www.goingsool.com/upload/%EB%AA%A8%EC%9B%94%201.PNG,37.299415,127.9734512
농업회사법인 (유) 양촌양조,충남 논산시 양촌면 황산벌로 1075-21 농업회사법인 (유) 양촌양조,전 주종,010-8803-2066,15,https://www.goingsool.com/upload/%EC%96%91%EC%B4%8C%EC%96%91%EC%A1%B0%201%EB%B2%881.PNG,36.17784293,127.2012087
농업회사법인 예산사과와인,충남 예산군 고덕면 대몽로 107-25 농업회사법인 예산사과와인,"와인,증류주",010-8530-2959,10,https://www.goingsool.com/upload/Screenshot%202023-06-26%20at%2009.59.37.JPG,36.76185044,126.6980778
농업회사법인 장희도가(주),충북 청주시 청원구 내수읍 미원초정로 1275 농업회사법인 장희도가(주),약주 및 탁주(세종대왕어주),010-4741-6567,10,https://www.goingsool.com/upload/Screenshot%202023-07-13%20at%2015.03.00.JPG,36.71425238,127.6050997
농업회사법인(유)화양,충북 청주시 청원구 내수읍 풍정1길 8-2 농업회사법인(유)화양,"약주, 탁주, 증류식소주",043-214-9424,10,https://www.goingsool.com/upload/%EA%B7%B8%EB%A6%BC1.png,36.7016275,127.5454484
농업회사법인(주)두레양조,충남 천안시 서북구 입장면 율목길 17-6 농업회사법인(주)두레양조,"과실주,일반증류주,브랜디",010-5408-5740,20,https://www.goingsool.com/upload/%EB%91%90%EB%A0%88%EC%96%91%EC%A1%B0.jpg,36.91355284,127.2027313
대강양조장,충북 단양군 대강면 대강로 60 대강양조장,막걸리,010-6228-4406,6,https://www.goingsool.com/upload/sample_thumbnail1.jpg,36.92220817,128.3537272
도란원,충북 영동군 매곡면 유전장척길 143 도란원,"과실주, 증류주",010-8841-8954,5,https://www.goingsool.com/upload/IMG_3117.JPG,36.19209394,127.9367252
